Year,Units,Industry category,Value
2007,MISK per capita,C: 24 Manufacture of basic metals,0.0573
2008,MISK per capita,C: 24 Manufacture of basic metals,0.1363
2009,MISK per capita,C: 24 Manufacture of basic metals,0.10995
2010,MISK per capita,C: 24 Manufacture of basic metals,0.22399
2011,MISK per capita,C: 24 Manufacture of basic metals,0.21274
2012,MISK per capita,C: 24 Manufacture of basic metals,0.14537
2013,MISK per capita,C: 24 Manufacture of basic metals,0.13965
2014,MISK per capita,C: 24 Manufacture of basic metals,0.16388
2015,MISK per capita,C: 24 Manufacture of basic metals,0.15072
2016,MISK per capita,C: 24 Manufacture of basic metals,0.10385
2017,MISK per capita,C: 24 Manufacture of basic metals,0.13631
2018,MISK per capita,C: 24 Manufacture of basic metals,0.08533
2019,MISK per capita,C: 24 Manufacture of basic metals,0.09489
2020,MISK per capita,C: 24 Manufacture of basic metals,0.08188
2021,MISK per capita,C: 24 Manufacture of basic metals,0.10817
1997,MISK per capita,"C: 25 Manufacture of fabricated metal products, except machinery and equipment",0.0193
1998,MISK per capita,"C: 25 Manufacture of fabricated metal products, except machinery and equipment",0.02153
1999,MISK per capita,"C: 25 Manufacture of fabricated metal products, except machinery and equipment",0.02205
2000,MISK per capita,"C: 25 Manufacture of fabricated metal products, except machinery and equipment",0.02267
2001,MISK per capita,"C: 25 Manufacture of fabricated metal products, except machinery and equipment",0.0225
2002,MISK per capita,"C: 25 Manufacture of fabricated metal products, except machinery and equipment",0.02271
2003,MISK per capita,"C: 25 Manufacture of fabricated metal products, except machinery and equipment",0.02174
2004,MISK per capita,"C: 25 Manufacture of fabricated metal products, except machinery and equipment",0.02224
2005,MISK per capita,"C: 25 Manufacture of fabricated metal products, except machinery and equipment",0.02499
2006,MISK per capita,"C: 25 Manufacture of fabricated metal products, except machinery and equipment",0.02908
2007,MISK per capita,"C: 25 Manufacture of fabricated metal products, except machinery and equipment",0.03613
2008,MISK per capita,"C: 25 Manufacture of fabricated metal products, except machinery and equipment",0.03494
2009,MISK per capita,"C: 25 Manufacture of fabricated metal products, except machinery and equipment",0.0244
2010,MISK per capita,"C: 25 Manufacture of fabricated metal products, except machinery and equipment",0.02803
2011,MISK per capita,"C: 25 Manufacture of fabricated metal products, except machinery and equipment",0.02983
2012,MISK per capita,"C: 25 Manufacture of fabricated metal products, except machinery and equipment",0.03272
2013,MISK per capita,"C: 25 Manufacture of fabricated metal products, except machinery and equipment",0.03408
2014,MISK per capita,"C: 25 Manufacture of fabricated metal products, except machinery and equipment",0.03956
2015,MISK per capita,"C: 25 Manufacture of fabricated metal products, except machinery and equipment",0.04321
2016,MISK per capita,"C: 25 Manufacture of fabricated metal products, except machinery and equipment",0.04968
2017,MISK per capita,"C: 25 Manufacture of fabricated metal products, except machinery and equipment",0.05125
2018,MISK per capita,"C: 25 Manufacture of fabricated metal products, except machinery and equipment",0.05481
2019,MISK per capita,"C: 25 Manufacture of fabricated metal products, except machinery and equipment",0.05834
2020,MISK per capita,"C: 25 Manufacture of fabricated metal products, except machinery and equipment",0.05272
2021,MISK per capita,"C: 25 Manufacture of fabricated metal products, except machinery and equipment",0.05616
1997,MISK per capita,"C: 26 Manufacture of computer, electronic and optical products",0.00046
1998,MISK per capita,"C: 26 Manufacture of computer, electronic and optical products",0.00059
1999,MISK per capita,"C: 26 Manufacture of computer, electronic and optical products",0.00066
2000,MISK per capita,"C: 26 Manufacture of computer, electronic and optical products",0.00085
2001,MISK per capita,"C: 26 Manufacture of computer, electronic and optical products",0.00115
2002,MISK per capita,"C: 26 Manufacture of computer, electronic and optical products",0.00116
2003,MISK per capita,"C: 26 Manufacture of computer, electronic and optical products",0.00105
2004,MISK per capita,"C: 26 Manufacture of computer, electronic and optical products",0.0014
2005,MISK per capita,"C: 26 Manufacture of computer, electronic and optical products",0.00097
2006,MISK per capita,"C: 26 Manufacture of computer, electronic and optical products",0.0021
2007,MISK per capita,"C: 26 Manufacture of computer, electronic and optical products",0.00178
2008,MISK per capita,"C: 26 Manufacture of computer, electronic and optical products",0.002
2009,MISK per capita,"C: 26 Manufacture of computer, electronic and optical products",0.00254
2010,MISK per capita,"C: 26 Manufacture of computer, electronic and optical products",0.00265
2011,MISK per capita,"C: 26 Manufacture of computer, electronic and optical products",0.00338
2012,MISK per capita,"C: 26 Manufacture of computer, electronic and optical products",0.00268
2013,MISK per capita,"C: 26 Manufacture of computer, electronic and optical products",0.00276
2014,MISK per capita,"C: 26 Manufacture of computer, electronic and optical products",0.00374
2015,MISK per capita,"C: 26 Manufacture of computer, electronic and optical products",0.0033
2016,MISK per capita,"C: 26 Manufacture of computer, electronic and optical products",0.00353
2017,MISK per capita,"C: 26 Manufacture of computer, electronic and optical products",0.00323
2018,MISK per capita,"C: 26 Manufacture of computer, electronic and optical products",0.00328
2019,MISK per capita,"C: 26 Manufacture of computer, electronic and optical products",0.00257
2020,MISK per capita,"C: 26 Manufacture of computer, electronic and optical products",0.00684
2021,MISK per capita,"C: 26 Manufacture of computer, electronic and optical products",0.02318
1997,MISK per capita,C: 27 Manufacture of electrical equipment,0.00137
1998,MISK per capita,C: 27 Manufacture of electrical equipment,0.00156
1999,MISK per capita,C: 27 Manufacture of electrical equipment,0.00172
2000,MISK per capita,C: 27 Manufacture of electrical equipment,0.00178
2001,MISK per capita,C: 27 Manufacture of electrical equipment,0.00187
2002,MISK per capita,C: 27 Manufacture of electrical equipment,0.00167
2003,MISK per capita,C: 27 Manufacture of electrical equipment,0.00138
2004,MISK per capita,C: 27 Manufacture of electrical equipment,0.00154
2005,MISK per capita,C: 27 Manufacture of electrical equipment,0.00196
2006,MISK per capita,C: 27 Manufacture of electrical equipment,0.00167
2007,MISK per capita,C: 27 Manufacture of electrical equipment,0.00167
2008,MISK per capita,C: 27 Manufacture of electrical equipment,0.00281
2009,MISK per capita,C: 27 Manufacture of electrical equipment,0.00297
2010,MISK per capita,C: 27 Manufacture of electrical equipment,0.00441
2011,MISK per capita,C: 27 Manufacture of electrical equipment,0.00658
2012,MISK per capita,C: 27 Manufacture of electrical equipment,0.00759
2013,MISK per capita,C: 27 Manufacture of electrical equipment,0.00892
2014,MISK per capita,C: 27 Manufacture of electrical equipment,0.0035
2015,MISK per capita,C: 27 Manufacture of electrical equipment,0.0066
2016,MISK per capita,C: 27 Manufacture of electrical equipment,0.00566
2017,MISK per capita,C: 27 Manufacture of electrical equipment,0.00503
2018,MISK per capita,C: 27 Manufacture of electrical equipment,0.00571
2019,MISK per capita,C: 27 Manufacture of electrical equipment,0.00453
2020,MISK per capita,C: 27 Manufacture of electrical equipment,0.00679
2021,MISK per capita,C: 27 Manufacture of electrical equipment,0.00714
1997,MISK per capita,C: 28 Manufacture of machinery and equipment n.e.c.,0.01206
1998,MISK per capita,C: 28 Manufacture of machinery and equipment n.e.c.,0.01248
1999,MISK per capita,C: 28 Manufacture of machinery and equipment n.e.c.,0.01275
2000,MISK per capita,C: 28 Manufacture of machinery and equipment n.e.c.,0.01179
2001,MISK per capita,C: 28 Manufacture of machinery and equipment n.e.c.,0.01501
2002,MISK per capita,C: 28 Manufacture of machinery and equipment n.e.c.,0.01539
2003,MISK per capita,C: 28 Manufacture of machinery and equipment n.e.c.,0.01612
2004,MISK per capita,C: 28 Manufacture of machinery and equipment n.e.c.,0.01738
2005,MISK per capita,C: 28 Manufacture of machinery and equipment n.e.c.,0.01531
2006,MISK per capita,C: 28 Manufacture of machinery and equipment n.e.c.,0.01655
2007,MISK per capita,C: 28 Manufacture of machinery and equipment n.e.c.,0.01643
2008,MISK per capita,C: 28 Manufacture of machinery and equipment n.e.c.,0.02273
2009,MISK per capita,C: 28 Manufacture of machinery and equipment n.e.c.,0.02616
2010,MISK per capita,C: 28 Manufacture of machinery and equipment n.e.c.,0.03137
2011,MISK per capita,C: 28 Manufacture of machinery and equipment n.e.c.,0.03271
2012,MISK per capita,C: 28 Manufacture of machinery and equipment n.e.c.,0.0401
2013,MISK per capita,C: 28 Manufacture of machinery and equipment n.e.c.,0.03592
2014,MISK per capita,C: 28 Manufacture of machinery and equipment n.e.c.,0.04026
2015,MISK per capita,C: 28 Manufacture of machinery and equipment n.e.c.,0.03815
2016,MISK per capita,C: 28 Manufacture of machinery and equipment n.e.c.,0.04702
2017,MISK per capita,C: 28 Manufacture of machinery and equipment n.e.c.,0.04974
2018,MISK per capita,C: 28 Manufacture of machinery and equipment n.e.c.,0.05778
2019,MISK per capita,C: 28 Manufacture of machinery and equipment n.e.c.,0.05635
2020,MISK per capita,C: 28 Manufacture of machinery and equipment n.e.c.,0.06358
2021,MISK per capita,C: 28 Manufacture of machinery and equipment n.e.c.,0.06433
1997,MISK per capita,"C: 29 Manufacture of motor vehicles, trailers and semi-trailers",0.00098
1998,MISK per capita,"C: 29 Manufacture of motor vehicles, trailers and semi-trailers",0.00109
1999,MISK per capita,"C: 29 Manufacture of motor vehicles, trailers and semi-trailers",0.00111
2000,MISK per capita,"C: 29 Manufacture of motor vehicles, trailers and semi-trailers",0.00113
2001,MISK per capita,"C: 29 Manufacture of motor vehicles, trailers and semi-trailers",0.00135
2002,MISK per capita,"C: 29 Manufacture of motor vehicles, trailers and semi-trailers",0.00132
2003,MISK per capita,"C: 29 Manufacture of motor vehicles, trailers and semi-trailers",0.00117
2004,MISK per capita,"C: 29 Manufacture of motor vehicles, trailers and semi-trailers",0.00124
2005,MISK per capita,"C: 29 Manufacture of motor vehicles, trailers and semi-trailers",0.00144
2006,MISK per capita,"C: 29 Manufacture of motor vehicles, trailers and semi-trailers",0.00123
2007,MISK per capita,"C: 29 Manufacture of motor vehicles, trailers and semi-trailers",0.00158
2008,MISK per capita,"C: 29 Manufacture of motor vehicles, trailers and semi-trailers",0.00158
2009,MISK per capita,"C: 29 Manufacture of motor vehicles, trailers and semi-trailers",0.00141
2010,MISK per capita,"C: 29 Manufacture of motor vehicles, trailers and semi-trailers",0.00124
2011,MISK per capita,"C: 29 Manufacture of motor vehicles, trailers and semi-trailers",0.00173
2012,MISK per capita,"C: 29 Manufacture of motor vehicles, trailers and semi-trailers",0.00138
2013,MISK per capita,"C: 29 Manufacture of motor vehicles, trailers and semi-trailers",0.00139
2014,MISK per capita,"C: 29 Manufacture of motor vehicles, trailers and semi-trailers",0.00153
2015,MISK per capita,"C: 29 Manufacture of motor vehicles, trailers and semi-trailers",0.0018
2016,MISK per capita,"C: 29 Manufacture of motor vehicles, trailers and semi-trailers",0.002
2017,MISK per capita,"C: 29 Manufacture of motor vehicles, trailers and semi-trailers",0.00157
2018,MISK per capita,"C: 29 Manufacture of motor vehicles, trailers and semi-trailers",0.00151
2019,MISK per capita,"C: 29 Manufacture of motor vehicles, trailers and semi-trailers",0.00119
2020,MISK per capita,"C: 29 Manufacture of motor vehicles, trailers and semi-trailers",0.00131
2021,MISK per capita,"C: 29 Manufacture of motor vehicles, trailers and semi-trailers",0.00137
1997,MISK per capita,C: 30 Manufacture of other transport equipment,0.00413
1998,MISK per capita,C: 30 Manufacture of other transport equipment,0.0041
1999,MISK per capita,C: 30 Manufacture of other transport equipment,0.00361
2000,MISK per capita,C: 30 Manufacture of other transport equipment,0.00378
2001,MISK per capita,C: 30 Manufacture of other transport equipment,0.00408
2002,MISK per capita,C: 30 Manufacture of other transport equipment,0.00415
2003,MISK per capita,C: 30 Manufacture of other transport equipment,0.00337
2004,MISK per capita,C: 30 Manufacture of other transport equipment,0.00343
2005,MISK per capita,C: 30 Manufacture of other transport equipment,0.00385
2006,MISK per capita,C: 30 Manufacture of other transport equipment,0.00357
2007,MISK per capita,C: 30 Manufacture of other transport equipment,0.00093
2008,MISK per capita,C: 30 Manufacture of other transport equipment,0.00131
2009,MISK per capita,C: 30 Manufacture of other transport equipment,0.00112
2010,MISK per capita,C: 30 Manufacture of other transport equipment,0.00137
2011,MISK per capita,C: 30 Manufacture of other transport equipment,0.00143
2012,MISK per capita,C: 30 Manufacture of other transport equipment,0.00134
2013,MISK per capita,C: 30 Manufacture of other transport equipment,0.0018
2014,MISK per capita,C: 30 Manufacture of other transport equipment,0.00243
2015,MISK per capita,C: 30 Manufacture of other transport equipment,0.00213
2016,MISK per capita,C: 30 Manufacture of other transport equipment,0.00143
2017,MISK per capita,C: 30 Manufacture of other transport equipment,0.00158
2018,MISK per capita,C: 30 Manufacture of other transport equipment,0.00142
2019,MISK per capita,C: 30 Manufacture of other transport equipment,0.00155
2020,MISK per capita,C: 30 Manufacture of other transport equipment,0.00192
2021,MISK per capita,C: 30 Manufacture of other transport equipment,0.00149
1997,MISK per capita,C: 31-32 Manufacture of furniture; other manufacturing,0.0162
1998,MISK per capita,C: 31-32 Manufacture of furniture; other manufacturing,0.01839
1999,MISK per capita,C: 31-32 Manufacture of furniture; other manufacturing,0.01946
2000,MISK per capita,C: 31-32 Manufacture of furniture; other manufacturing,0.02168
2001,MISK per capita,C: 31-32 Manufacture of furniture; other manufacturing,0.02374
2002,MISK per capita,C: 31-32 Manufacture of furniture; other manufacturing,0.02495
2003,MISK per capita,C: 31-32 Manufacture of furniture; other manufacturing,0.02518
2004,MISK per capita,C: 31-32 Manufacture of furniture; other manufacturing,0.0284
2005,MISK per capita,C: 31-32 Manufacture of furniture; other manufacturing,0.02686
2006,MISK per capita,C: 31-32 Manufacture of furniture; other manufacturing,0.03454
2007,MISK per capita,C: 31-32 Manufacture of furniture; other manufacturing,0.02402
2008,MISK per capita,C: 31-32 Manufacture of furniture; other manufacturing,0.02841
2009,MISK per capita,C: 31-32 Manufacture of furniture; other manufacturing,0.02236
2010,MISK per capita,C: 31-32 Manufacture of furniture; other manufacturing,0.03015
2011,MISK per capita,C: 31-32 Manufacture of furniture; other manufacturing,0.03568
2012,MISK per capita,C: 31-32 Manufacture of furniture; other manufacturing,0.0375
2013,MISK per capita,C: 31-32 Manufacture of furniture; other manufacturing,0.04214
2014,MISK per capita,C: 31-32 Manufacture of furniture; other manufacturing,0.0466
2015,MISK per capita,C: 31-32 Manufacture of furniture; other manufacturing,0.05108
2016,MISK per capita,C: 31-32 Manufacture of furniture; other manufacturing,0.05221
2017,MISK per capita,C: 31-32 Manufacture of furniture; other manufacturing,0.04714
2018,MISK per capita,C: 31-32 Manufacture of furniture; other manufacturing,0.04726
2019,MISK per capita,C: 31-32 Manufacture of furniture; other manufacturing,0.05246
2020,MISK per capita,C: 31-32 Manufacture of furniture; other manufacturing,0.06311
2021,MISK per capita,C: 31-32 Manufacture of furniture; other manufacturing,0.05955
1997,MISK per capita,C: 33 Repair and installation of machinery and equipment,0.01314
1998,MISK per capita,C: 33 Repair and installation of machinery and equipment,0.01335
1999,MISK per capita,C: 33 Repair and installation of machinery and equipment,0.01227
2000,MISK per capita,C: 33 Repair and installation of machinery and equipment,0.0128
2001,MISK per capita,C: 33 Repair and installation of machinery and equipment,0.01392
2002,MISK per capita,C: 33 Repair and installation of machinery and equipment,0.01394
2003,MISK per capita,C: 33 Repair and installation of machinery and equipment,0.01154
2004,MISK per capita,C: 33 Repair and installation of machinery and equipment,0.01202
2005,MISK per capita,C: 33 Repair and installation of machinery and equipment,0.01324
2006,MISK per capita,C: 33 Repair and installation of machinery and equipment,0.01274
2007,MISK per capita,C: 33 Repair and installation of machinery and equipment,0.01312
2008,MISK per capita,C: 33 Repair and installation of machinery and equipment,0.02206
2009,MISK per capita,C: 33 Repair and installation of machinery and equipment,0.02254
2010,MISK per capita,C: 33 Repair and installation of machinery and equipment,0.02273
2011,MISK per capita,C: 33 Repair and installation of machinery and equipment,0.03199
2012,MISK per capita,C: 33 Repair and installation of machinery and equipment,0.03088
2013,MISK per capita,C: 33 Repair and installation of machinery and equipment,0.0337
2014,MISK per capita,C: 33 Repair and installation of machinery and equipment,0.03504
2015,MISK per capita,C: 33 Repair and installation of machinery and equipment,0.03581
2016,MISK per capita,C: 33 Repair and installation of machinery and equipment,0.03954
2017,MISK per capita,C: 33 Repair and installation of machinery and equipment,0.03374
2018,MISK per capita,C: 33 Repair and installation of machinery and equipment,0.0362
2019,MISK per capita,C: 33 Repair and installation of machinery and equipment,0.03237
2020,MISK per capita,C: 33 Repair and installation of machinery and equipment,0.02993
2021,MISK per capita,C: 33 Repair and installation of machinery and equipment,0.03267
1997,MISK per capita,C: 10-12 Thereof Fish processing,0.08505
1998,MISK per capita,C: 10-12 Thereof Fish processing,0.08621
1999,MISK per capita,C: 10-12 Thereof Fish processing,0.07506
2000,MISK per capita,C: 10-12 Thereof Fish processing,0.06445
2001,MISK per capita,C: 10-12 Thereof Fish processing,0.11719
2002,MISK per capita,C: 10-12 Thereof Fish processing,0.08888
2003,MISK per capita,C: 10-12 Thereof Fish processing,0.07803
2004,MISK per capita,C: 10-12 Thereof Fish processing,0.07487
2005,MISK per capita,C: 10-12 Thereof Fish processing,0.06597
2006,MISK per capita,C: 10-12 Thereof Fish processing,0.07379
2007,MISK per capita,C: 10-12 Thereof Fish processing,0.05595
2008,MISK per capita,C: 10-12 Thereof Fish processing,0.11531
2009,MISK per capita,C: 10-12 Thereof Fish processing,0.17426
2010,MISK per capita,C: 10-12 Thereof Fish processing,0.15981
2011,MISK per capita,C: 10-12 Thereof Fish processing,0.19505
2012,MISK per capita,C: 10-12 Thereof Fish processing,0.20121
2013,MISK per capita,C: 10-12 Thereof Fish processing,0.21737
2014,MISK per capita,C: 10-12 Thereof Fish processing,0.18599
2015,MISK per capita,C: 10-12 Thereof Fish processing,0.20024
2016,MISK per capita,C: 10-12 Thereof Fish processing,0.1694
2017,MISK per capita,C: 10-12 Thereof Fish processing,0.1614
2018,MISK per capita,C: 10-12 Thereof Fish processing,0.1732
2019,MISK per capita,C: 10-12 Thereof Fish processing,0.18535
2020,MISK per capita,C: 10-12 Thereof Fish processing,0.20644
2021,MISK per capita,C: 10-12 Thereof Fish processing,0.23285
